#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2013-03-09 09:10:29 EST      (nadww01)
#
# ---------------------WARNING---------------------
# The data you have obtained from this automated
# U.S. Geological Survey database have not received
# Director's approval and as such are provisional
# and subject to revision.  The data are released
# on the condition that neither the USGS nor the
# United States Government may be held liable for
# any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# http://nwis.waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# http://nwis.waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  dd_nu        Data Descriptor Number
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd   site_no dd_nu   parameter_cd    result_dt   result_tz_cd    result_va   result_cd   result_md
5s  15s 2n  5s  12d 6s  12s 2s  12d
USGS    01010000    06  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:17:03
USGS    01010070    04  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:17:03
USGS    01010500    05  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:07:04
USGS    01011000    06  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:17:03
USGS    01011500    03  00060   2013-03-09 08:00:00 EST 267     2013-03-09 08:39:03
USGS    01013500    01  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    01014000    03  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:39:03
USGS    01015800    01  00060   2013-03-09 09:00:00 EST Ice     2013-03-09 09:05:05
USGS    01017000    01  00060   2013-03-09 09:00:00 EST Ice     2013-03-09 09:05:05
USGS    01017060    02  00060   2013-03-09 08:20:00 EST Ice     2013-03-09 08:29:03
USGS    01017290    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:39:03
USGS    01017550    02  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01017960    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    01018000    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:45:04
USGS    01018009    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:39:03
USGS    01018035    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01018500    01  00060   2013-03-09 08:15:00 EST 754     2013-03-09 08:23:03
USGS    01019000    02  00060   2013-03-09 09:00:00 EST 1090        2013-03-09 09:05:05
USGS    01021000    04  00060   2013-03-09 08:15:00 EST 3010        2013-03-09 08:29:03
USGS    01021200    02  00060   2013-03-09 08:15:00 EST 212     2013-03-09 08:29:03
USGS    01021470    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01021480    02  00060   2013-03-09 08:30:00 EST 60      2013-03-09 08:43:04
USGS    01022294    02  00060   2013-03-09 08:00:00 EST 0.060       2013-03-09 08:07:04
USGS    01022295    02  00060   2012-12-10 10:00:00 EST Dis     2013-03-09 03:12:03
USGS    01022500    02  00060   2013-03-09 09:00:00 EST 632     2013-03-09 09:05:05
USGS    01022840    02  00060   2013-03-09 08:25:00 EST Ice     2013-03-09 08:33:02
USGS    01027200    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01029200    02  00060   2013-03-09 09:00:00 EST Ice     2013-03-09 09:05:05
USGS    01029500    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01030350    02  00060   2013-03-05 14:15:00 EST Ice     2013-03-09 03:46:04
USGS    01030500    01  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01031300    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01031450    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01031500    04  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:49:02
USGS    01031510    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:39:03
USGS    01034000    01  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01034500    02  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01037000    01  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01037380    02  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01038000    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 09:05:05
USGS    01042500    01  00060   2013-03-09 08:15:00 EST 5080        2013-03-09 08:29:03
USGS    01044550    02  00060   2013-03-09 09:00:00 EST Ice     2013-03-09 09:05:05
USGS    01046000    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:39:03
USGS    01046500    02  00060   2013-03-09 08:15:00 EST 6160        2013-03-09 08:29:03
USGS    01047000    04  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01047150    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01047200    02  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:07:04
USGS    01048000    02  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:07:04
USGS    01048220    02  00060   2013-03-09 08:00:00 EST Ice     2013-03-09 08:07:04
USGS    01049000    01  00060   2013-03-09 08:45:00 EST 947     2013-03-09 08:55:03
USGS    01049265    04  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:49:02
USGS    01049500    01  00060   2013-03-09 08:45:00 EST 363     2013-03-09 09:05:05
USGS    01052500    01  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01053500    01  00060   2013-03-09 08:15:00 EST 2670        2013-03-09 08:29:03
USGS    01053600    02  00060   2013-03-09 08:30:00 EST 2700        2013-03-09 08:49:02
USGS    01054000    01  00060   2013-03-09 08:15:00 EST 2760        2013-03-09 08:29:03
USGS    01054114    02  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01054200    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01054300    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:45:04
USGS    01054500    04  00060   2013-03-09 08:15:00 EST 3420        2013-03-09 08:23:03
USGS    01055000    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 08:43:04
USGS    01055500    01  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 09:05:05
USGS    01057000    03  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:29:03
USGS    01059000    01  00060   2013-03-09 08:45:00 EST 4910        2013-03-09 08:59:03
USGS    01063310    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    010642505   02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    01064500    04  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01064801    02  00060   2013-03-09 08:15:00 EST 49      2013-03-09 08:29:03
USGS    01066000    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    01067950    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 09:05:05
USGS    01068910    02  00060   2013-03-09 08:45:00 EST 108     2013-03-09 09:05:05
USGS    01069500    01  00060   2013-03-09 08:45:00 EST 208     2013-03-09 08:59:03
USGS    01069700    01  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01072800    02  00060   2013-03-09 08:00:00 EST 113     2013-03-09 08:13:03
USGS    01072870    02  00060   2013-03-09 08:15:00 EST 123     2013-03-09 08:23:03
USGS    01073000    01  00060   2013-03-09 08:30:00 EST 29      2013-03-09 08:39:03
USGS    01073319    02  00060   2013-03-09 08:45:00 EST 103     2013-03-09 08:59:03
USGS    01073500    01  00060   2013-03-09 08:15:00 EST 413     2013-03-09 08:33:02
USGS    010735562   02  00060   2013-03-09 08:30:00 EST 51      2013-03-09 08:39:03
USGS    01073587    02  00060   2013-03-09 08:15:00 EST 173     2013-03-09 08:33:02
USGS    01073785    02  00060   2013-03-09 08:30:00 EST 34      2013-03-09 08:43:04
USGS    01074520    02  00060   2013-03-09 08:15:00 EST 111     2013-03-09 08:24:03
USGS    01075000    01  00060   2013-03-09 08:30:00 EST 163     2013-03-09 08:49:02
USGS    01076000    01  00060   2013-03-09 08:30:00 EST 131     2013-03-09 08:49:02
USGS    01076500    01  00060   2013-03-09 09:00:00 EST Ice     2013-03-09 09:05:05
USGS    01077400    02  00060   2013-03-09 08:00:00 EST 10      2013-03-09 08:44:03
USGS    01078000    01  00060   2013-03-09 08:30:00 EST 63      2013-03-09 08:49:02
USGS    01081000    01  00060   2013-03-09 08:30:00 EST 576     2013-03-09 08:50:04
USGS    01081500    01  00060   2013-03-09 08:30:00 EST 1560        2013-03-09 08:56:03
USGS    01082000    01  00060   2013-03-09 08:30:00 EST Ice     2013-03-09 09:00:04
USGS    01083000    08  00060   2013-03-09 08:30:00 EST 63      2013-03-09 09:06:04
USGS    01085000    04  00060   2013-03-09 09:00:00 EST 339     2013-03-09 09:05:05
USGS    01085500    01  00060   2013-03-09 08:00:00 EST 620     2013-03-09 08:33:02
USGS    01086000    01  00060   2013-03-09 08:30:00 EST 145     2013-03-09 08:43:04
USGS    01087000    05  00060   2013-03-09 08:30:00 EST 106     2013-03-09 08:49:02
USGS    01089100    02  00060   2013-03-09 08:30:00 EST 84      2013-03-09 08:49:02
USGS    01089500    01  00060   2013-03-09 08:15:00 EST Ice     2013-03-09 08:23:03
USGS    01090800    06  00060   2013-03-09 08:30:00 EST 79      2013-03-09 08:43:04
USGS    01091000    01  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:59:03
USGS    01091500    04  00060   2013-03-09 08:30:00 EST 276     2013-03-09 08:49:02
USGS    01092000    01  00060   2013-03-09 08:30:00 EST 3200        2013-03-09 08:49:02
USGS    01093852    02  00060   2013-03-09 08:45:00 EST Ice     2013-03-09 08:55:03
USGS    01094000    01  00060   2013-03-09 08:30:00 EST 307     2013-03-09 08:45:04
USGS    01094400    01  00060   2013-03-09 08:30:00 EST 128     2013-03-09 08:45:04
USGS    01094500    01  00060   2013-03-09 08:15:00 EST 267     2013-03-09 08:33:02
