agency_cd	site_no	station_nm	dd_nu	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
USGS	01011500	St. Francis River near Connors, New Brunswick	03	00060	2013-02-18 13:00:00	EST	313		2013-02-18 13:39:03
USGS	01104370	STONY BROOK AT VILES STREET, NEAR WESTON, MA	02	00060	2013-02-18 13:00:00	EST	14		2013-02-18 13:19:02
USGS	05020500	St. Mary River at International Boundary	05	00060	2013-02-18 11:00:00	MST	Ice		2013-02-18 13:16:03
USGS	06178500	East Poplar River at international boundary	02	00060	2013-02-18 11:30:00	MST	2.6		2013-02-18 13:46:03
USGS	09442980	MINERAL CREEK NEAR GLENWOOD, NM	01	00060	2013-02-18 10:45:00	MST	1.9		2013-02-18 12:55:03
USGS	09443800	WHITEWATER CREEK AT CATWALK NRT, NEAR GLENWOOD, NM	01	00060	2013-02-18 10:45:00	MST	13		2013-02-18 12:57:03
USGS	12355000	Flathead River at Flathead British Columbia	02	00060	2013-02-18 11:30:00	MST	Ice		2013-02-18 13:48:03
USGS	402958084363300	Coldwater Creek at Coldwater OH	02	00060	2013-02-18 12:45:00	EST	5.0		2013-02-18 13:02:02
USGS	01010000	St. John River at Ninemile Bridge, Maine	06	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:19:02
USGS	01010070	Big Black River near Depot Mtn, Maine	04	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:19:02
USGS	01010500	St. John River at Dickey, Maine	05	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:09:03
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	03	00060	2013-02-18 13:30:00	EST	Ice		2013-02-18 13:39:03
USGS	01011000	Allagash River near Allagash, Maine	06	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:19:02
USGS	01013500	Fish River near Fort Kent, Maine	01	00060	2013-02-18 12:45:00	EST	Ice		2013-02-18 12:59:02
USGS	01015800	Aroostook River near Masardis, Maine	01	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:09:03
USGS	01017000	Aroostook River at Washburn, Maine	01	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:09:03
USGS	01017060	Hardwood Brook below Glidden Brk nr Caribou, Maine	02	00060	2013-02-18 13:20:00	EST	Ice		2013-02-18 13:29:02
USGS	01017290	Little Madawaska River at Caribou, Maine	02	00060	2013-02-18 13:30:00	EST	Ice		2013-02-18 13:39:03
USGS	01017550	Williams Brook at Phair, Maine	02	00060	2013-02-18 13:15:00	EST	Ice		2013-02-18 13:25:03
USGS	01017960	Meduxnekeag R above S Br Medux. R nr Houlton, ME	02	00060	2013-02-18 12:45:00	EST	Ice		2013-02-18 12:53:03
USGS	01018000	Meduxnekeag River near Houlton, Maine	01	00060	2013-02-18 13:30:00	EST	Ice		2013-02-18 13:45:03
USGS	01018009	Pearce Brook at Route 1 at Houlton, Maine	02	00060	2013-02-18 13:30:00	EST	Ice		2013-02-18 13:39:03
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	02	00060	2013-02-18 12:45:00	EST	Ice		2013-02-18 13:03:03
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	02	00060	2013-02-18 12:45:00	EST	Ice		2013-02-18 12:59:02
USGS	01029200	Seboeis River near Shin Pond, Maine	02	00060	2013-02-18 13:00:00	EST	Ice		2013-02-18 13:09:03
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	01	00060	2013-02-18 13:30:00	EST	Ice		2013-02-18 13:39:03
USGS	01030350	Wytopitlock Stream near Wytopitlock Maine	02	00060	2013-02-18 13:15:00	EST	Ice		2013-02-18 13:29:02
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	01	00060	2013-02-18 13:15:00	EST	Ice		2013-02-18 13:29:02
