site_no	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	county_cd	huc_cd	basin_cd	drain_area_va	contrib_drain_area_va
01010000	46.70055556	-69.71555560	S	NAD83	23	003	01010001	me01	1341	1341
01010070	46.89388889	-69.75166670	S	NAD83	23	003	01010001	me01	171	171
01010500	47.11305556	-69.08805560	S	NAD83	23	003	01010001	me01	2680	2680
01011000	47.06972220	-69.07944440	S	NAD83	23	003	01010002	me01	1478	1229
01011500	47.20697926	-68.95642810	S	NAD83	90	000		me01	524	524
01013500	47.23750000	-68.58277778	S	NAD83	23	003	01010003	me01	873	873
01014000	47.28333330	-68.58527778	S	NAD83	23	003	01010001	me01	5929	5680
01015800	46.52305556	-68.37166670	S	NAD83	23	003	01010004	me01	892	892
01017000	46.77722220	-68.15722220	S	NAD83	23	003	01010004	me01	1654	1654
01017060	46.78361110	-67.98916670	5	NAD83	23	003	01010004	me01	5.70	5.70
01017290	46.88861110	-67.94500000	5	NAD83	23	003	01010004	me01	234	234
01017550	46.62805556	-67.95305560	S	NAD83	23	003	01010005	me01	3.82	3.82
01017960	46.10500000	-67.88138889	S	NAD83	23	003	01010005	me01	88.0	88.0
01018000	46.10500000	-67.86666670	S	NAD83	23	003	01010005	me01	175	175
01018009	46.11527778	-67.84027778	5	NAD83	23	003	01010005	me01	7.99	7.99
01018035	46.18111110	-67.80388889	S	NAD83	23	003	01010005	me01	257	257
01018500	45.56833330	-67.42833330	S	NAD83	23	029	01050001	me02	413	413
01019000	45.17250000	-67.76888889	S	NAD83	23	029	01050001	me02	228.3	228.3
01021000	45.13694440	-67.31805560	S	NAD83	23	029	01050001	me02	1374	1374
01021200	44.90138889	-67.24750000	S	NAD83	23	029	01050002	me03	92.9	92.9
01021470	44.80083330	-67.72500000	S	NAD83	23	029	01050002	me03	7.79	7.79
01021480	44.93694440	-67.73611110	S	NAD83	23	029	01050002	me03	29.1	29.1
01022294	44.85909167	-68.10396389	5	NAD83	23	009	01050002	me03	0.042	0.042
01022500	44.60805556	-67.93527778	S	NAD83	23	029	01050002	me03	227	227
01022840	44.33277778	-68.20666670	S	NAD83	23	009	01050002	me03	1.35	1.35
01027200	45.93527778	-69.99361110	S	NAD83	23	025	01020001	me04	232	232
01029200	46.14305556	-68.63361110	S	NAD83	23	019	01020002	me04	173	173
01029500	45.73027778	-68.58944440	S	NAD83	23	019	01020002	me04	837	1086.0
01030350	45.70861110	-68.15805560	5	NAD83	23	003	01020003	me04	48.8	48.8
01030500	45.50111110	-68.30583330	S	NAD83	23	019	01020003	me04	1418	1418
01031300	45.26722220	-69.58388889	S	NAD83	23	021	01020004	me04	118	118
01031450	45.18444440	-69.45222220	S	NAD83	23	021	01020004	me04	95.4	95.4
01031500	45.17500000	-69.31472220	S	NAD83	23	021	01020004	me04	298	298
01031510	45.15027778	-69.23638889	5	NAD83	23	021	01020004	me04	26.0	26.0
01034000	45.26055556	-68.86861110	S	NAD83	23	021	01020004	me04	1162	1162
01034500	45.23611110	-68.65138889	S	NAD83	23	019	01020005	me04	6422	6671.00
01037000	44.86111110	-68.83166670	S	NAD83	23	019	01020005	me04	196	196
01037380	44.32916667	-69.06083330	S	NAD83	23	027	01050002	me05	14.4	14.4
01038000	44.22277778	-69.59388889	S	NAD83	23	015	01050003	me05	145	145
01042500	45.33972220	-69.96194440	S	NAD83	23	025	01030001	me06	1590	1590
01044550	45.31361110	-70.24166670	S	NAD83	23	025	01030002	me06	193	193
01046000	45.06444440	-69.88055560	S	NAD83	23	025	01030003	me06	90.0	90.0
01046500	45.05194440	-69.88555560	S	NAD83	23	025	01030003	me06	2715	2715
01047000	44.86916667	-69.95500000	S	NAD83	23	025	01030003	me06	353	353
01047150	44.77888889	-69.88694440	S	NAD83	23	025	01030003	me06	3245	3245
01047200	44.85777778	-70.48527778	5	NAD83	23	007	01030003	me06	25.3	25.3
01048000	44.70805556	-69.93750000	S	NAD83	23	025	01030003	me06	516	516
01048220	44.94750000	-69.65694440	5	NAD83	23	025	01030003	me06	19.5	19.5
01049000	44.71666667	-69.41388889	S	NAD83	23	025	01030003	me06	572	572
01049265	44.47222220	-69.68388889	S	NAD83	23	011	01030003	me06	5403	5403
01049500	44.22916667	-69.77805560	S	NAD83	23	011	01030003	me06	217	217
01052500	44.87750000	-71.05750000	S	NAD83	33	007	01040001	nh01	152	152
01053500	44.78250000	-71.12861110	S	NAD83	33	007	01040001	nh01	1046	1046
01053600	44.66611110	-71.18138889	S	NAD83	33	007	01040001	nh01	1177	1177
01054000	44.43583330	-71.19027778	S	NAD83	33	007	01040001	nh01	1361	1361
01054114	44.38131944	-71.17065560	5	NAD83	33	007	01040002	me07	46.27	46.27
01054200	44.39055556	-70.97972220	S	NAD83	23	017	01040002	me07	69.6	69.6
01054300	44.59333330	-70.73305560	S	NAD83	23	017	01040002	me07	130	130
01054500	44.55194440	-70.54416670	5	NAD83	23	017	01040002	me07	2068	2068
01055000	44.64277778	-70.58888889	S	NAD83	23	017	01040002	me07	96.9	96.9
01055500	44.26944444	-70.22972220	S	NAD83	23	001	01040002	me07	169	169
01057000	44.30388889	-70.53972220	S	NAD83	23	017	01040002	me07	73.5	73.5
01059000	44.07222220	-70.20805560	S	NAD83	23	001	01040002	me07	3263	3263
01063310	43.85555556	-70.63972220	S	NAD83	23	005	01060001	me08	0.81	0.81
010642505	44.08361110	-71.28500000	S	NAD83	33	003	01060002	nh02	91	
01064500	43.99083330	-71.09055560	S	NAD83	33	003	01060002	me08	385	385
01064801	43.83007396	-71.28784880	S	NAD83	33	003	01060002	nh02	67.6	
