Code,School,PRINCIPAL,ADDR1,CITY,STATE,Zip,PARISH,Phone,Grades,District,MGMT,TMgmt,CHARTER,tEnroll,Enroll,English,tEnglish,nEnglish,tGrades,Lunch,tLunch,Longitude,Latitude
36005,Audubon Charter School - Broadway Campus,Janice Anderson Dupuy,428 Broadway St,New Orleans,LA,Orleans,70118,504-862-5135,"PS, PK, K, 1st-3rd",OPSB,OPSB-Charter,OPSBregchart,Single school charter,3,443,70 students,3,*This number includes LEP students at Audubon Charter School - Carrollton Campus,1,41%,1,-90.129494,29.934088
36005,Audubon Charter School - Carrollton Campus,Janice Anderson Dupuy,719 S Carrollton Ave,New Orleans,LA,Orleans,70118,504-324-7110,4th-8th,OPSB,OPSB-Charter,OPSBregchart,Single school charter,2,332,70 students,3,*This number includes LEP students at Audubon Charter School - Broadway Campus,1,46%,1,-90.133125,29.943811
36011,Mary Bethune Elementary Literature/Technology,Mary Haynes-Smith,4040 Eagle St,New Orleans,LA,Orleans,70118,504-324-7076,"PS, PK, K, 1st-6th",OPSB,OPSB,OPSBreg,Not a charter,2,352,3 students,1,&nbsp;,1,85%,2,-90.113922,29.972404
36013,Einstein Charter School,Shawn Toranto,5100 Cannes St,New Orleans,LA,Orleans,70129,504-324-7450,"PS, PK, K, 1st-8th",OPSB,OPSB-Charter,OPSBregchart,Single school charter,3,471,163 students,3,&nbsp;,1,94%,3,-89.924065,30.039558
36035,Warren Easton Senior High School,Alexina Eileen Medley,3019 Canal St,New Orleans,LA,Orleans,70119,504-324-7400,9th-12th,OPSB,OPSB-Charter,OPSBregchart,Single school charter,4,849,15 students,2,&nbsp;,3,86%,2,-90.090599,29.967905
36043,Benjamin Franklin High School,Timothy Rusnak,2001 Leon C Simon Dr,New Orleans,LA,Orleans,70122,504-286-2600,9th-12th,OPSB,OPSB-Charter,OPSBregchart,Single school charter,4,609,0 students,1,&nbsp;,3,30%,1,-90.065804,30.023935
36056,Alice Harte Elementary Charter School,Anna Marciante,5300 Berkley Dr,New Orleans,LA,Orleans,70131,504-373-6281,"K, 1st-8th",OPSB,OPSB-Charter,OPSBregchart,Algiers Charter Schools Assoc.,4,615,27 students,2,&nbsp;,1,70%,1,-89.999741,29.918219
36060,Edward Hynes Charter School,Michelle Douglas,3774 Gentilly Blvd,New Orleans,LA,Orleans,70122,504-324-7160,"PS, K, 1st-8th",OPSB,OPSB-Charter,OPSBregchart,Single school charter,3,500,28 students,2,&nbsp;,1,65%,1,-90.048058,30.002874
36064,Edna Karr Secondary School,John Hiser,3332 Huntlee Dr,New Orleans,LA,Orleans,70131,504-302-7135,9th-12th,OPSB,OPSB-Charter,OPSBregchart,Algiers Charter Schools Assoc.,4,843,18 students,2,&nbsp;,3,72%,1,-90.004517,29.920721
36073,Priestley School of Architecture/Construction,Michelle B. Biagas,2009 Palmyra St,New Orleans,LA,Orleans,70112,504-324-7200,9th-12th,OPSB,OPSB-Charter,OPSBregchart,Single school charter,2,308,0 students,1,&nbsp;,3,94%,3,-90.082146,29.959269
36079,Lusher Charter School - Fortier Campus,Kathleen Hurstell Riedlinger,5624 Freret St,New Orleans,LA,Orleans,70115,504-304-3960,6th-12th,OPSB,OPSB-Charter,OPSBregchart,Single school charter,4,866,34 students,2,*This number includes LEP students at Lusher Charter School-Willow Campus,4,32%,1,-90.113472,29.935583
36079,Lusher Charter School - Willow Campus,Kathleen Hurstell Riedlinger,7315 Willow St,New Orleans,LA,Orleans,70118,504-862-5110,"K, 1st-5th",OPSB,OPSB-Charter,OPSBregchart,Single school charter,4,654,34 students,2,*This number includes LEP students at Lusher Charter School-Fortier Campus,4,29%,1,-90.122574,29.94437
36088,McDonogh #35 Senior High School,Phillip J White,1331 Kerlerec St,New Orleans,LA,Orleans,70116,504-324-7600,7th-12th,OPSB,OPSB,OPSBreg,Not a charter,4,1008,2 students,1,&nbsp;,3,75%,1,-90.065323,29.968548
36096,Eleanor McMain Secondary School,Bridgette Frick,5712 S Claiborne Ave,New Orleans,LA,Orleans,70125,504-324-7500,7th-12th,OPSB,OPSB,OPSBreg,Not a charter,4,707,86 students,3,&nbsp;,3,77%,1,-90.111778,29.942526
36149,Robert Russa Moton Charter School,Paulette P. Bruno,6800 Chef Menteur Hwy,New Orleans,LA,Orleans,70126,504-245-4400,"PS, PK, K, 1st-7th",OPSB,OPSB-Charter,OPSBregchart,Single school charter,2,280,0 students,1,&nbsp;,1,100%,3,-90.008759,30.011114
36158,Lake Forest Elementary Charter School,Mardele Early,12000 Hayne Blvd,New Orleans,LA,Orleans,70128,504-826-7140,"PS, K, 1st-8th",OPSB,OPSB-Charter,OPSBregchart,Single school charter,3,463,35 students,2,&nbsp;,1,86%,2,-89.969208,30.057331
36161,Benjamin Franklin Elem. Math-Science Magnet,Charlotte L Matthew,1116 Jefferson Ave,New Orleans,LA,Orleans,70115,504-304-3932,"PS, PK, K, 1st-6th",OPSB,OPSB,OPSBreg,Not a charter,4,609,22 students,2,&nbsp;,1,78%,1,-90.114525,29.923138
36163,New Orleans Charter Science and Mathematics HS,Bridget D. Ramsey,5625 Loyola Ave,New Orleans,LA,Orleans,70115,504-324-7061,9th-12th,OPSB,OPSB-Charter,OPSBregchart,Advocates for Science and Math Education,2,373,1 students,1,&nbsp;,3,72%,1,-90.114212,29.932863
300001,P. A. Capdau School,Vera B. Triplett,3821 Franklin Ave,New Orleans,LA,Orleans,70122,504-872-9257,"K, 1st-8th",RSD,RSD-Charter,RSDregchart,UNO,3,426,1 students,1,&nbsp;,1,95%,3,-90.049782,29.997885
300002,Nelson Elementary School,Edward Brown,3121 Saint Bernard Ave,New Orleans,LA,Orleans,70119,504-943-1311,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,UNO,3,413,0 students,1,&nbsp;,1,98%,3,-90.074814,29.988913
300003,Thurgood Marshall Early College High School,"Ronald Ayler, Interim",4621 Canal St,New Orleans,LA,Orleans,70119,504-220-4619,9th-12th,RSD,RSD-Charter,RSDregchart,UNO,2,377,3 students,1,&nbsp;,3,87%,2,-90.106064,29.97839
331001,International School of Louisiana,Melanie Jane Tennyson,1400 Camp St,New Orleans,LA,Orleans,70130,504-654-1088,"K, 1st-8th",BESE,BESE-Charter,BESEchart,Single school charter,3,522,15 students,2,&nbsp;,1,51%,1,-90.07309,29.936468
334001,New Orleans Center for Creative Arts,Kyle  Wedberg,2800 Chartres St,New Orleans,LA,Orleans,70117,504-940-2787,9th-12th,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,-90.049759,29.96336
339001,Milestone SABIS Academy of New Orleans,Catherine Boozer,5951 Patton St,New Orleans,LA,Orleans,70115,504-894-0557,"K, 1st-8th",BESE,BESE-Charter,BESEchart,Single school charter,2,396,2 students,1,&nbsp;,1,96%,3,-90.121315,29.920181
373001,Arise Academy,Andrew Shahan,3819 St. Claude Ave,New Orleans,LA,Orleans,70117,504-520-9245,"PK, K, 1st-2nd",RSD,RSD-Charter,RSDregchart,Single school charter,1,198,0 students,1,&nbsp;,1,98%,3,-90.03698,29.966166
374001,Success Preparatory Academy,Niloy Gangopadhyay,2011 Bienville St,New Orleans,LA,Orleans,70112,504-388-0208,"K, 1st-3rd",RSD,RSD-Charter,RSDregchart,Single school charter,2,238,0 students,1,&nbsp;,1,97%,3,-90.079063,29.96274
375001,Benjamin E. Mays Preparatory School,"Duke J. Bradley, III",3019 Higgins Blvd,New Orleans,LA,Orleans,70126,504-428-8711,"PK, K, 1st-2nd",RSD,RSD-Charter,RSDregchart,Single school charter,1,140,0 students,1,&nbsp;,1,99%,3,-90.038582,29.993238
376001,Pride College Preparatory Academy,Michael J. Richard,1700 Pratt Dr,New Orleans,LA,Orleans,70122,504-400-0614,"PK, K, 1st-2nd",RSD,RSD-Charter,RSDregchart,Single school charter,1,132,0 students,1,&nbsp;,1,95%,3,-90.07077,30.004721
379001,Crocker Arts and Technology School,Anna C. Robertson,1111 Milan St.,New Orleans,LA,Orleans,70115,504-373-6223,"PK, K, 1st-3rd",RSD,RSD-Charter,RSDregchart,Single school charter,1,174,0 students,1,&nbsp;,1,92%,3,-90.099281,29.923136
380001,The Intercultural Charter School,Peta Leblanc,5075 Willowbrook Dr,New Orleans,LA,Orleans,70129,504-255-9170,"K, 1st-6th",RSD,RSD-Charter,RSDregchart,Single school charter,2,296,77 students,3,&nbsp;,1,94%,3,-89.919777,30.04126
381001,Akili Academy of New Orleans,Sean Gallagher,1700 Pratt Dr,New Orleans,LA,Orleans,70122,504-274-3642,"K, 1st-2nd",RSD,RSD-Charter,RSDregchart,Single school charter,1,168,0 students,1,&nbsp;,1,75%,1,-90.07077,30.004721
382001,New Orleans Charter Science and Math Academy,Benjamin Marcovitz,7301 Dwyer Rd,New Orleans,LA,Orleans,70126,504-274-3666,9th-10th,RSD,RSD-Charter,RSDregchart,Advocates for Science and Math Education,1,151,0 students,1,&nbsp;,3,54%,1,-90.003464,30.021702
383001,Sojourner Truth Academy,Channa Cook,2437 Jena St,New Orleans,LA,Orleans,70115,504-352-6330,9th-10th,RSD,RSD-Charter,RSDregchart,Single school charter,1,183,6 students,1,&nbsp;,3,84%,2,-90.104095,29.934505
384001,Miller-McCoy Academy,Tiffany Hardrick,7301 Dwyer Rd,New Orleans,LA,Orleans,70126,504-303-2084,"6th-7th, 9th-10th",RSD,RSD-Charter,RSDregchart,Single school charter,2,388,0 students,1,&nbsp;,3,77%,1,-90.003464,30.021702
385001,NOLA College Prep Charter School,Ben Kleban,3127 Martin Luther King Jr Blvd,New Orleans,LA,Orleans,70125,504-756-5577,"K, 1st-2nd, 6th-8th",RSD,RSD-Charter,RSDregchart,Single school charter,3,441,0 students,1,&nbsp;,1,96%,3,-90.089622,29.947206
386001,A.D. Crossman-Esperanza Charter School,Melida Martinez,4407 S Carrollton Ave,New Orleans,LA,Orleans,70119,504-373-6272,"K, 1st-8th",RSD,RSD-Charter,RSDregchart,Single school charter,2,332,114 students,3,&nbsp;,1,95%,3,-90.10408,29.971415
387001,Langston Hughes Academy Charter School,John Alford III,3519 Trafalgar St,New Orleans,LA,Orleans,70119,504-352-4453,"K, 1st-7th",RSD,RSD-Charter,RSDregchart,Single school charter,3,488,0 students,1,&nbsp;,1,93%,3,-90.080246,29.987759
388001,Andrew H. Wilson Charter School,Sheila M. Thomas,1111 Milan St,New Orleans,LA,Orleans,70115,504-373-6274,"K, 1st-7th",RSD,RSD-Charter,RSDregchart,Single school charter,3,525,0 students,1,&nbsp;,1,95%,3,-90.099281,29.923136
389001,Abramson Science & Technology Charter School,Hasan Sazci,5552 Read Blvd,New Orleans,LA,Orleans,70127,504-244-4416,"K, 1st-11th",RSD,RSD-Charter,RSDregchart,Single school charter,3,491,2 students,1,&nbsp;,4,97%,3,-89.971672,30.030725
390001,James M. Singleton Charter School,Melrose D. Biagas,2220 Oretha C Haley Blvd,New Orleans,LA,Orleans,70113,504-568-3466,"PK, K, 1st-8th",RSD,RSD-Charter,RSDregchart,Single school charter,4,617,3 students,1,&nbsp;,1,98%,3,-90.083344,29.936724
391001,Dr. M.L.K. Charter School for Science & Tech.,Doris R. Hicks,1617 Caffin Ave,New Orleans,LA,Orleans,70117,504-940-2243,"PK, K, 1st-10th",RSD,RSD-Charter,RSDregchart,Single school charter,4,700,0 students,1,&nbsp;,4,97%,3,-90.013985,29.966396
