license_no,facility,address,city,state,zip,phone,capacity,Size,Infants,HSLabel,NightCare,Class,HS,Longitude,Latitude
8728,St. Philip's Episcopal Preschool,3643 Aurora Dr,New Orleans,LA,70131,504-392-2386,50,Medium,Yes,Class B,No,No,,-89.9879,29.926001
14389,Blessings Childcare Center,2123 General Meyer Ave,New Orleans,LA,70114,504-256-1315,20,Small,Yes,Class A,No,No,,-90.035271,29.944765
833,Gilda's Preschool Academy,7653 Lacombe St,New Orleans,LA,70127,504-242-2175,43,Medium,Yes,Class A,No,No,,-89.977798,30.047403
13761,Jumpstart Child Development Center,7700 Lake Forest Blvd,New Orleans,LA,70126,504-240-2915,42,Medium,Yes,Class A,No,No,,-89.999947,30.023794
13551,Love Me Tender Daycare Center,700 N Broad St,New Orleans,LA,70119,504-827-2522,54,Medium,No,Class A,No,Yes,,-90.083046,29.970299
1856,Loyola University New Orleans / Whelan Children's Center,2020 Calhoun St,New Orleans,LA,70118,504-864-7273,63,Medium,Yes,Class A,No,No,,-90.118813,29.936653
14470,Wilcox's Academy of Early Learning,1678 N Broad St,New Orleans,LA,70119,504-948-1827,84,Large,Yes,Class A,No,No,,-90.074051,29.980509
10621,Children's College of Academics,4614 General Meyer Ave,New Orleans,LA,70131,504-324-3992,21,Small,Yes,Class A,No,Yes,,-90.006882,29.933666
1063,Learn and Play Daycare,6234 Curran Blvd,New Orleans,LA,70126,504-246-1693,16,Small,Yes,Class A,No,No,,-90.021065,30.030931
11510,"""Bright Minds"" Academy",6836 Bundy Rd,New Orleans,LA,70127,504-309-6056,63,Medium,No,Class A,No,No,,-89.984535,30.031784
13625,"Booker Academy , Inc.",3311 Dryades St,New Orleans,LA,70115,504-899-5583,103,Extra large,Yes,Class A,No,No,,-90.091835,29.931454
14246,Clear Head Learning Center #3,1937 Newton St,New Orleans,LA,70114,504-669-6847,55,Medium,Yes,Class A,No,No,,-90.037445,29.944918
13659,"D.J.'s Learning Castle, LLC",3033 Paris Ave,New Orleans,LA,70119,504-309-1135,73,Large,No,Class A,No,No,,-90.072723,29.988411
13870,Discovery Kids Preschool and Daycare Center #2,7979 Earhart Blvd,New Orleans,LA,70125,504-484-5082,64,Medium,Yes,Class A,No,No,,-90.11364,29.960463
85,El Yo Yo Bilingual Head Start,735 General Pershing St,New Orleans,LA,70115,504-899-6165,121,Extra large,Yes,Class A,Combined,No,Combo,-90.099991,29.919249
7638,Founders Head Start Center,4128 Franklin Ave,New Orleans,LA,70122,504-945-4128,68,Large,No,Class A,Head Start,No,HeadStart,-90.050278,30.001104
13853,Jordan's Learning Academy,2240 A P Tureaud Ave,New Orleans,LA,70119,504-940-5648,20,Small,Yes,Class A,No,No,,-90.067398,29.979528
